TREATMENTMAPPING,,,,,,,,/TREATMENTMAPPING
BOOK.NAME,ID,QUERY_SEQNBR.NAME,NEXT_ID,QUERY_SEQNBR.TYPE,BOOK_LINK.ID,PREVIOUS_ID,TYPE,
Treasury_CI,6562097a-0d1f-4e5e-ba53-15f1b23f0e57,A_TR_FXNDF,4311fdd8-f728-492b-8dc1-0f060ee02fef,FASQL Query,Treasury_CI|FX NDF,f89f7838-d4bb-479f-b570-e5369db6502f,Trade,
Treasury_CI,4311fdd8-f728-492b-8dc1-0f060ee02fef,A_TR_FX_Spot,37d50953-a20d-465c-8333-ebc7d335677c,FASQL Query,Treasury_CI|FX Spot,6562097a-0d1f-4e5e-ba53-15f1b23f0e57,Trade,
Treasury_CI,357cffa7-4e1b-4636-8230-250c5167c5f9,A_TR_FXO,a12df5f8-1236-42b4-b105-698ee24663ca,FASQL Query,Treasury_CI|FXO,61be18fe-2348-415b-a120-56102c89c235,Trade,
Treasury_CI,a12df5f8-1236-42b4-b105-698ee24663ca,A_TR_Bond AC,02afda7c-2217-42e5-a4c1-6804872c53d4,FASQL Query,Treasury_CI|Bond Amortised Cost,357cffa7-4e1b-4636-8230-250c5167c5f9,Trade,
Treasury_CI,02afda7c-2217-42e5-a4c1-6804872c53d4,A_TR_Bond FVOCI,bc89e2a2-2d92-4140-9a0e-a761f53780eb,FASQL Query,Treasury_CI|Bond FVOCI,a12df5f8-1236-42b4-b105-698ee24663ca,Trade,
Treasury_CI,bc89e2a2-2d92-4140-9a0e-a761f53780eb,A_TR_Bond FVTPL,c97a13f4-0954-4426-a4f9-a27db9006b36,FASQL Query,Treasury_CI|Bond FVTPL,02afda7c-2217-42e5-a4c1-6804872c53d4,Trade,
Treasury_CI,f89f7838-d4bb-479f-b570-e5369db6502f,A_TR_CCS_IRS,6562097a-0d1f-4e5e-ba53-15f1b23f0e57,FASQL Query,Treasury_CI|CCS IRS,5931babd-b522-4dc9-99b0-93702ebd6896,Trade,
Treasury_CI,5931babd-b522-4dc9-99b0-93702ebd6896,A_TR_ReverseRepo,f89f7838-d4bb-479f-b570-e5369db6502f,FASQL Query,Treasury_CI|Reverse Repo,f7130e7e-ad3b-4414-9d2b-cb23831183cf,Trade,
Treasury_CI,f7130e7e-ad3b-4414-9d2b-cb23831183cf,A_TR_Placement,5931babd-b522-4dc9-99b0-93702ebd6896,FASQL Query,Treasury_CI|Placement,3c710d6f-05ee-41b8-91c3-a7b86f88f69a,Trade,
Treasury_CI,3c710d6f-05ee-41b8-91c3-a7b86f88f69a,A_TR_Borrowing,f7130e7e-ad3b-4414-9d2b-cb23831183cf,FASQL Query,Treasury_CI|Borrowing,,Trade,
Treasury_CI,37d50953-a20d-465c-8333-ebc7d335677c,A_TR_FX_Forward,61be18fe-2348-415b-a120-56102c89c235,FASQL Query,Treasury_CI|FX Forward,4311fdd8-f728-492b-8dc1-0f060ee02fef,Trade,
Treasury_CI,61be18fe-2348-415b-a120-56102c89c235,A_TR_FX_Swap,357cffa7-4e1b-4636-8230-250c5167c5f9,FASQL Query,Treasury_CI|FX Swap,37d50953-a20d-465c-8333-ebc7d335677c,Trade,
Treasury_CI,c97a13f4-0954-4426-a4f9-a27db9006b36,A_TR_Bond Issuance,4b14eea4-a9e2-4608-8a9f-d020967aa27f,FASQL Query,Treasury_CI|Bond Issuance,bc89e2a2-2d92-4140-9a0e-a761f53780eb,Trade,
Treasury_CI,4b14eea4-a9e2-4608-8a9f-d020967aa27f,A_TR_RepoCollateral Coupon Transfer,f3cb994f-6680-40f4-a6f1-dbcc63cf83a7,FASQL Query,Treasury_CI|Repo Coupon Transfer,c97a13f4-0954-4426-a4f9-a27db9006b36,Trade,
Treasury_CI,f3cb994f-6680-40f4-a6f1-dbcc63cf83a7,A_TR_Repo,,FASQL Query,Treasury_CI|Repo,4b14eea4-a9e2-4608-8a9f-d020967aa27f,Trade,
Treasury_CI,ceb37eb0-0d44-49ab-a079-198de4a5b9f0,A_TR_Settlement,,FASQL Query,Treasury_CI|Settlement,,Settlement,
